Genome,TARA_SOC_NCLDV_00026,Schulz_GVMAG_S_1102104_120,Schulz_GVMAG_S_1102114_126,TARA_ARC_NCLDV_00127,Schulz_GVMAG_M_3300025652_16,TARA_PSW_NCLDV_00058,TARA_ARC_NCLDV_00188,TARA_PSW_NCLDV_00082,TARA_PSW_NCLDV_00081,TARA_AON_NCLDV_00051,Moniruzzaman_LP01_ERX552326_9_dc,Phycodnaviridae_HM004432_Bathycoccus_sp_RCC1105_virus_BpV1,TARA_MED_NCLDV_00135,TARA_IOS_NCLDV_00005,TARA_AON_NCLDV_00048,TARA_ARC_NCLDV_00096,TARA_AON_NCLDV_00068,Moniruzzaman_LP01_ERX552252_57_dc,TARA_ARC_NCLDV_00161,TARA_AON_NCLDV_00055,Schulz_GVMAG_M_3300021389_45,Moniruzzaman_LP01_ERX556023_2_dc,TARA_ARC_NCLDV_00036,Schulz_GVMAG_S_1102110_122,TARA_IOS_NCLDV_00011,Schulz_GVMAG_M_3300021964_16,Schulz_GVMAG_S_1085336_36,TARA_AON_NCLDV_00061,Schulz_GVMAG_M_3300001718_3,TARA_AON_NCLDV_00059,Schulz_GVMAG_S_3300013195_8,TARA_ARC_NCLDV_00121,TARA_AON_NCLDV_00074,Schulz_GVMAG_M_3300017771_11,TARA_IOS_NCLDV_00012,TARA_AON_NCLDV_00060,Schulz_GVMAG_S_ERX556109_35,Moniruzzaman_LP01_ERX556034_38_dc,TARA_ARC_NCLDV_00057,TARA_AON_NCLDV_00033,TARA_ARC_NCLDV_00187,TARA_PSW_NCLDV_00005,Schulz_GVMAG_S_1092152_17,Moniruzzaman_MM09_ERX556134_17_dc,Schulz_GVMAG_S_ERX556125_36,Schulz_GVMAG_S_403982_53,Moniruzzaman_LP01_SRX672316_10_dc,TARA_ARC_NCLDV_00031,TARA_ARC_NCLDV_00162,Schulz_GVMAG_M_3300027206_1,TARA_PSE_NCLDV_00035,TARA_IOS_NCLDV_00002,TARA_ARC_NCLDV_00130,Phycodnaviridae_HM004430_Bathycoccus_sp_RCC1105_virus_BpV2,TARA_PON_NCLDV_00010,TARA_SOC_NCLDV_00021,Moniruzzaman_LP01_ERX555961_17_dc,Moniruzzaman_LP01_ERX555987_30_dc,TARA_ARC_NCLDV_00124,TARA_AON_NCLDV_00054,TARA_ARC_NCLDV_00126,TARA_ARC_NCLDV_00092,TARA_AON_NCLDV_00052,Moniruzzaman_MM16_ERX556094_26_dc,TARA_PON_NCLDV_00030,TARA_AON_NCLDV_00072,TARA_ARC_NCLDV_00114,Schulz_GVMAG_S_ERX555976_100,TARA_ARC_NCLDV_00024,Schulz_GVMAG_M_3300022925_12,TARA_PON_NCLDV_00048,Schulz_GVMAG_M_3300005523_3,TARA_ARC_NCLDV_00011,Moniruzzaman_LP01_ERX552283_12_dc,Phycodnaviridae_KT820662_Chrysochromulina_ericina_virus_isolate_CeV_01B,TARA_ARC_NCLDV_00177,Moniruzzaman_LP01_ERX555978_25_dc,Schulz_GVMAG_M_3300006165_1,TARA_PSW_NCLDV_00032,TARA_PSE_NCLDV_00038,Schulz_GVMAG_M_3300025643_32,Schulz_GVMAG_M_3300017744_9,Schulz_GVMAG_S_1102105_81,Schulz_GVMAG_S_405408_30,TARA_PSW_NCLDV_00039,TARA_ARC_NCLDV_00137,Schulz_GVMAG_S_3300000929_19,Schulz_GVMAG_S_3300001941_2,TARA_ARC_NCLDV_00068,TARA_ARC_NCLDV_00183,TARA_ARC_NCLDV_00164,TARA_ARC_NCLDV_00160,TARA_PSE_NCLDV_00044,Moniruzzaman_LP01_ERX556037_11_dc,TARA_PSE_NCLDV_00024,TARA_AON_NCLDV_00020,Schulz_GVMAG_S_1102238_66,TARA_PON_NCLDV_00028,Moniruzzaman_LP01_SRX802076_50_dc,Schulz_GVMAG_S_1102107_72
100DCM0CCKK11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.383801882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100DCM1GGMM11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100DCM1GGZZ11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.991956348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100DCM1QQSS11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100DCM1SSUU11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100SUR0CCKK11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5341577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.35291452,0,0,0,0,0,0,0
100SUR1GGMM11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.626870808,0,0,0,0,0,0,0
100SUR1GGZZ11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.722017014,0,0,0,0,0,0,0
100SUR1MMQQ11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100SUR1QQSS11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
